Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Crosses,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won,Pass Completion %
Hugo Ekitike,Liverpool,63.833333333333336,Target Man / Aerial Specialist,0,3.10056662694118,0.750552526354705,15.0,8.0,14.0,21.6,6.8,53.0,93.0,486.0,644.0,44.0,17.0,6.0,5.0,101.0,12.0,16.0,7.0,1054.0,52.0,75.46583839213379
Nicolas Jackson,Bayern Munich,63.833333333333336,Target Man / Aerial Specialist,0,-0.696116605058268,-0.2768096536885744,10.0,5.0,10.0,12.3,4.3,38.0,47.0,303.0,399.0,28.0,3.0,1.0,0.0,69.0,10.0,22.0,3.0,687.0,21.0,75.93984943373472
Jonathan David,Juventus,60.0,Target Man / Aerial Specialist,0,1.3900093167836922,-0.8100414931205583,16.0,5.0,10.0,16.2,4.4,65.0,40.0,563.0,686.0,36.0,4.0,4.0,3.0,74.0,8.0,24.0,7.0,952.0,16.0,82.06997072584552
Kai Havertz,Arsenal,60.0,Target Man / Aerial Specialist,0,-1.473518108766666,-0.49054490398566686,9.0,3.0,9.0,9.5,2.4,61.0,35.0,407.0,519.0,17.0,11.0,1.0,0.0,42.0,3.0,16.0,6.0,785.0,63.0,78.42003838454713
Benjamin Šeško,Manchester United,50.0,Target Man / Aerial Specialist,0,-0.9664142179327814,0.5088208136109762,13.0,5.0,11.0,10.0,2.1,46.0,47.0,415.0,614.0,19.0,7.0,3.0,1.0,51.0,9.0,7.0,5.0,901.0,70.0,67.58957643715053
Marcus Thuram,Inter Milan,50.0,Target Man / Aerial Specialist,0,0.8989461417204291,0.055746512348719295,14.0,4.0,14.0,9.9,4.4,53.0,62.0,412.0,559.0,39.0,13.0,4.0,2.0,90.0,16.0,18.0,3.0,830.0,45.0,73.70304101305359
Nicolás Jackson,Chelsea,45.0,Target Man / Aerial Specialist,0,6.249485563947814e-17,7.324743970226722e-17,15.571428571428571,4.142857142857143,12.857142857142858,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,16.607142857142858,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,12.642857142857142,3.8214285714285716,791.7777777777778,36.333333333333336,71.87557501472672
Serhou Guirassy,Borussia Dortmund,45.0,Target Man / Aerial Specialist,0,0.5664590414034779,2.1230911594978545,21.0,4.0,18.0,22.7,3.9,43.0,25.0,456.0,627.0,25.0,1.0,9.0,3.0,53.0,10.0,7.0,4.0,965.0,109.0,72.72727261128027
Alexander Sørloth,Villarreal,30.0,Target Man / Aerial Specialist,0,-2.5298485488137104,2.215410661468615,20.0,2.0,19.0,16.8,1.6,31.0,32.0,229.0,359.0,13.0,5.0,1.0,0.0,30.0,5.0,9.0,1.0,602.0,98.0,63.788300657971305
Mateo Retegui,Al-Qadsiah,30.0,Target Man / Aerial Specialist,0,1.7228743301009548,1.5878229274413442,25.0,8.0,21.0,18.9,4.9,46.0,21.0,440.0,575.0,38.0,15.0,2.0,6.0,76.0,14.0,14.0,4.0,874.0,51.0,76.5217389973535
Hugo Ekitiké,Liverpool,25.0,Target Man / Aerial Specialist,0,6.249485563947814e-17,7.324743970347718e-17,15.571428571428571,4.142857142857143,12.857142857142858,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,16.607142857142858,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,12.642857142857142,3.8214285714285716,791.7777777777778,36.333333333333336,71.87557501472672
Robert Lewandowski,FC Barcelona,25.0,Target Man / Aerial Specialist,0,-0.24414918070106426,1.8126527571074285,27.0,2.0,24.0,27.1,2.3,48.0,27.0,383.0,522.0,19.0,5.0,3.0,6.0,50.0,3.0,10.0,3.0,841.0,37.0,73.37164736901983
Youssef En-Nesyri,Fenerbahçe,25.0,Target Man / Aerial Specialist,0,6.249485563947816e-17,7.324743970226722e-17,15.571428571428571,4.142857142857143,12.857142857142858,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,16.607142857142858,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,12.642857142857142,3.8214285714285716,791.7777777777778,36.333333333333336,71.87557501472672
Arkadiusz Milik,Juventus,15.0,Target Man / Aerial Specialist,0,6.041303709341315e-17,9.308706170405967e-17,15.571428571428571,4.142857142857143,12.857142857142858,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,16.607142857142858,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,12.642857142857142,3.8214285714285716,791.7777777777778,36.333333333333336,71.87557501472672
