Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won
Bernardo Silva,Manchester City,65.0,Playmaking Midfielder,1,2.0201390129858874,0.6367822583180268,4.0,4.0,4.0,3.9,5.1,134.0,101.0,1547.0,1783.0,53.0,4.0,6.0,92.0,8.0,56.0,23.0,2054.0,5.0
Bruno Guimarães,Newcastle United,65.0,Playmaking Midfielder,1,4.659590169121273,1.215736736644923,5.0,6.0,5.0,4.3,6.1,271.0,64.0,1481.0,1798.0,52.0,22.0,14.0,133.0,18.0,83.0,29.0,2213.0,18.0
Declan Rice,Arsenal,60.0,Playmaking Midfielder,1,3.171008944927992,1.2030901561152476,4.0,7.0,4.0,3.5,6.6,192.0,90.0,1376.0,1650.0,59.0,5.0,17.0,111.0,10.0,53.0,25.0,1948.0,37.0
Dominik Szoboszlai,Liverpool,60.0,Playmaking Midfielder,1,2.7042008052351716,-1.4416386658081404,6.0,6.0,6.0,7.3,7.4,131.0,72.0,1114.0,1322.0,56.0,5.0,14.0,119.0,16.0,38.0,9.0,1584.0,19.0
Joshua Kimmich,Bayern Munich,55.0,Playmaking Midfielder,1,8.287510700239881,3.838544902827227,3.0,7.0,3.0,1.8,7.4,362.0,51.0,3269.0,3652.0,83.0,21.0,42.0,159.0,18.0,47.0,25.0,3867.0,12.0
Bruno Fernandes,Manchester United,50.0,Playmaking Midfielder,1,7.928507670664204,0.4002812803716286,8.0,10.0,5.0,9.9,8.5,325.0,77.0,1707.0,2242.0,91.0,31.0,22.0,193.0,13.0,84.0,26.0,2649.0,22.0
Xavi Simons,RB Leipzig / Tottenham (loan),35.0,Playmaking Midfielder,1,2.728945128842777,-2.391937990016947,10.0,6.0,10.0,5.1,6.3,140.0,85.0,944.0,1201.0,51.0,23.0,4.0,108.0,12.0,28.0,12.0,1557.0,19.0
Xavi Simons,RB Leipzig,35.0,Playmaking Midfielder,1,2.728945128842777,-2.391937990016947,10.0,6.0,10.0,5.1,6.3,140.0,85.0,944.0,1201.0,51.0,23.0,4.0,108.0,12.0,28.0,12.0,1557.0,19.0
Youri Tielemans,Aston Villa,30.0,Playmaking Midfielder,1,4.086042193010923,1.8395362674175577,3.0,7.0,3.0,3.3,7.0,235.0,39.0,1694.0,2061.0,60.0,24.0,8.0,122.0,12.0,84.0,23.0,2385.0,22.0
Eberechi Eze,Crystal Palace,28.0,Playmaking Midfielder,1,2.351515246991567,-2.7788939156025845,8.0,8.0,7.0,10.5,6.2,97.0,69.0,777.0,1047.0,58.0,11.0,6.0,135.0,10.0,39.0,11.0,1414.0,7.0
Julian Brandt,Borussia Dortmund,28.0,Playmaking Midfielder,1,2.639056001918074,-1.8162394714253727,5.0,10.0,5.0,4.8,8.5,149.0,61.0,953.0,1209.0,61.0,18.0,3.0,102.0,14.0,26.0,14.0,1455.0,11.0
Rodrigo De Paul,Atletico Madrid,18.0,Playmaking Midfielder,1,2.818804580725695,0.049245452878946216,3.0,5.0,3.0,1.3,5.6,231.0,85.0,1449.0,1773.0,42.0,27.0,14.0,90.0,13.0,33.0,6.0,1950.0,4.0
Isco,Real Betis,6.0,Playmaking Midfielder,1,2.345230716941626,-1.6892269247384062,9.0,8.0,4.0,8.6,4.4,152.0,38.0,957.0,1173.0,61.0,6.0,27.0,111.0,14.0,20.0,11.0,1381.0,13.0
Ángel Di María,Benfica,5.0,Playmaking Midfielder,1,1.8070621437795373,-2.3661726774069534,8.0,5.0,3.0,8.9,5.2,160.0,70.0,684.0,970.0,45.0,19.0,21.0,90.0,12.0,16.0,8.0,1203.0,0.0
Lee Kang-in,Paris Saint-Germain,,Playmaking Midfielder,1,1.2394961371401088,-1.4641576744964677,6.0,6.0,6.0,3.5,5.6,143.0,50.0,1110.0,1268.0,56.0,13.0,10.0,97.0,6.0,25.0,3.0,1432.0,5.0
Mattéo Guendouzi,Lazio,,Playmaking Midfielder,1,2.955101048005785,3.2665206855717024,1.0,3.0,1.0,1.4,3.2,316.0,89.0,1961.0,2183.0,43.0,6.0,25.0,118.0,7.0,37.0,32.0,2437.0,18.0
Nicolò Barella,Internazionale,,Playmaking Midfielder,1,3.3812364372180266,1.198872328988652,3.0,6.0,3.0,2.2,4.5,235.0,63.0,1484.0,1808.0,55.0,18.0,23.0,112.0,15.0,50.0,12.0,2064.0,26.0
