Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Crosses,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won,Pass Completion %
Sávio,Manchester City,48.72,Explosive Dribbler,0,0.6760427401196034,1.5962222227395328,1.0,8.0,1.0,5.0,6.9,67.0,137.0,692.0,856.0,46.0,84.0,5.0,7.0,111.0,15.0,23.0,6.0,1095.0,1.0,80.84112140088654
Timothy Weah,Lille,48.72,Explosive Dribbler,0,-1.8142380199772252,1.9411080460364445,5.0,2.0,5.0,3.4,1.6,56.0,45.0,659.0,787.0,19.0,44.0,2.0,2.0,36.0,3.0,36.0,14.0,977.0,19.0,83.73570510325831
Yannick Ferreira Carrasco,Al Shabab,48.72,Explosive Dribbler,0,1.1928519101026009e-17,-2.7523766437397723e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Anthony Gordon,Newcastle United,45.0,Explosive Dribbler,0,1.821450125710004,0.36676525077000244,6.0,5.0,5.0,8.0,5.0,98.0,121.0,720.0,982.0,51.0,131.0,9.0,4.0,101.0,12.0,32.0,7.0,1267.0,8.0,73.31975552615097
Heung-Min Son,Tottenham Hotspur,45.0,Explosive Dribbler,0,5.611746998649637e-17,-4.466216882004253e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Mikel Oyarzabal,Real Sociedad,40.0,Explosive Dribbler,0,-2.4292161500922234,-1.559613703102524,9.0,3.0,5.0,9.9,2.4,28.0,31.0,371.0,505.0,15.0,10.0,2.0,3.0,38.0,5.0,25.0,4.0,729.0,32.0,73.46534638917753
Kaoru Mitoma,Brighton,35.0,Explosive Dribbler,0,2.3726890567540404,0.5635092057497625,10.0,4.0,10.0,9.2,4.6,89.0,146.0,749.0,988.0,37.0,75.0,9.0,1.0,87.0,10.0,45.0,14.0,1375.0,26.0,75.80971652245981
Leandro Trossard,Arsenal,28.0,Explosive Dribbler,0,1.4286869177856834,0.4647190225867592,8.0,7.0,8.0,7.2,6.1,101.0,80.0,711.0,954.0,41.0,86.0,7.0,5.0,93.0,8.0,31.0,9.0,1278.0,6.0,74.52830180867053
Neymar Jr.,Al Hilal,25.0,Explosive Dribbler,0,1.1928519101026029e-17,-2.7523766437397713e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Armand Laurienté,Sassuolo,18.0,Explosive Dribbler,0,-1.6859771780301904e-16,-3.949139477532333e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
